Month;Date;Status;Title;Platform(s);Genre(s);Publisher(s)
sep;30-09-1996;;Street Fighter Alpha 2;Arcade, SNES, PS1, Sat;;
sep;30-09-1996;;Mr. Bones;Sat;;
sep;30-09-1996;;Tobal No. 1;PS1;;
sep;30-09-1996;;Formula 1;PS1;;
sep;30-09-1996;;Donkey Kong Land 2;GB;;
okt;10-10-1996;;Mortal Kombat Trilogy;N64, PS1, R-Zone, Sat (1997);;
okt;15-10-1996;;Marathon Infinity;Mac;;
okt;31-10-1996;;Command & Conquer: Red Alert;DOS;;
okt;31-10-1996;;Master of Orion II;DOS;;
okt;31-10-1996;;The Neverhood;Win;;
okt;31-10-1996;;Bubsy 3D;PS1;;
okt;31-10-1996;;Drowned God;Win;;
okt;31-10-1996;;SimCopter;Win;;
okt;31-10-1996;;King's Field III;PS1;;
okt;31-10-1996;;DeathDrome;Win;;
okt;31-10-1996;;WWF In Your House;DOS, PS1, Sat;;
okt;31-10-1996;;Twisted Metal 2;PS1;;
okt;31-10-1996;;Destruction Derby 2;PS1;;
okt;31-10-1996;;NBA Live 97;PS1, Sat, SNES, SMD;;
okt;31-10-1996;;Pandemonium!;PS1, Sat, Win (1997);;
nov;01-11-1996;;Blood Omen: Legacy of Kain;PS1, Win;;
nov;15-11-1996;;Tomb Raider;PS1, Sat, DOS;;
nov;20-11-1996;;Sonic 3D Blast;Sat, SMD;;
nov;22-11-1996;;Donkey Kong Country 3;SNES;;
nov;25-11-1996;;Killer Instinct Gold;N64;;
nov;26-11-1996;;Area 51;PS1, Win, Sat;;
nov;26-11-1996;;Dead or Alive;Arcade, Sat (1997), PS1 (1998);;
nov;30-11-1996;;Contra: Legacy of War;Sat, PS1;;
nov;30-11-1996;;Dragon Force;Sat;;
nov;30-11-1996;;Fighting Vipers;Sat, Arcade;;
nov;30-11-1996;;Virtua Cop 2;Sat, Arcade;;
nov;30-11-1996;;Virtual On: Cyber Troopers;Sat, Arcade;;
nov;30-11-1996;;Bug Too!;Saturn, Win;;
nov;30-11-1996;;FIFA Soccer 97;SMD, PS1, Win, SNES, Sat, GB;;
dec;03-12-1996;;Star Wars: Shadows of the Empire;N64;;
dec;14-12-1996;;Mario Kart 64;N64;;
dec;17-12-1996;;Mega Man 8;PS1;;
dec;19-12-1996;;Terranigma;SNES;;
dec;31-12-1996;;Death Rally;DOS;;
dec;31-12-1996;;NBA Hangtime;SMD, PS1, Win, N64, Arcade, SNES;;
1997;01-01-1997;;;;;
jan;03-01-1997;;Diablo;Win, PS1 (1998), ;;
jan;05-01-1997;;Robotron 64;N64;Shoot 'em up;
jan;08-01-1997;;No One Can Stop Mr. Domino!;PS1;Puzzle;
jan;12-01-1997;;Marvel vs. Capcom: Clash of Super Heroes;Arcade;Fighting;
jan;14-01-1997;;Tengai Maky?: Daiyon no Mokushiroku;Sat, ;;
jan;21-01-1997;;Resident Evil 2;PS1;Survival horror;
jan;29-01-1997;;Bomberman World;PS1;Action, maze;
jan;29-01-1997;;Bust a Groove;PS1;Music, fighting;
jan;29-01-1997;;Panzer Dragoon Saga;Sat;Action-adventure, role-playing;
jan;31-01-1997;;Skullmonkeys;PS1;Platform;
jan;31-01-1997;;Final Fantasy VII (Japan);Win (1998), PS1, ;;
