Month;Date;Status;Title;Platform(s);Genre(s);Publisher(s)
apr;14-04-2013;;Star Wars: The Old Republic - Rise of the Hutt Cartel;Win;;
apr;15-04-2013;;Little Inferno;Mac;;
apr;16-04-2013;;Darkfall Unholy Wars;Win;;
apr;16-04-2013;;Dragon Fantasy Book I;PS3, PSVita;;
apr;16-04-2013;;Injustice: Gods Among Us;WiiU, PS3, X360;;
apr;16-04-2013;;Pandora's Tower;Wii;;
apr;16-04-2013;;Shin Megami Tensei: Devil Summoner: Soul Hackers;3DS;;
apr;17-04-2013;;Sacred Citadel;Win, PSN, XBLA;;
apr;18-04-2013;;Cut the Rope: Time Travel;iOS;;
apr;18-04-2013;;Papo & Yo;Win;;
apr;18-04-2013;;Super Little Acorns 3D Turbo;3DS;;
apr;19-04-2013;;God Mode;Win, XBLA;;
apr;19-04-2013;;Surgeon Simulator 2013;Win;;
apr;19-04-2013;;We Sing UK Hits;Wii;;
apr;21-04-2013;;Lego City Undercover: The Chase Begins;3DS;;
apr;23-04-2013;;Black Rock Shooter: The Game;PSP;;
apr;23-04-2013;;Dead Island: Riptide;Win, PS3, X360;;
apr;23-04-2013;;Don't Starve;Win;;
apr;23-04-2013;;Dragon's Dogma: Dark Arisen;PS3, X360;;
apr;23-04-2013;;God Mode;PSN;;
apr;23-04-2013;;Guilty Gear XX: ? Core Plus R;PSVita;;
apr;23-04-2013;;Star Trek;Win, PS3, X360;;
apr;23-04-2013;;Thomas Was Alone;PS3, PSVita;;
apr;24-04-2013;;Dyad;Win;;
apr;24-04-2013;;Fieldrunners 2;Droid;;
apr;24-04-2013;;Monaco: What's Yours is Mine;Win;;
apr;24-04-2013;;Poker Night 2;XBLA;;
apr;25-04-2013;;Gun Commando;iOS;;
apr;25-04-2013;;Iron Man 3: The Official Game;iOS;;
apr;25-04-2013;;Mega Man 4;3DS;;
apr;25-04-2013;;The House of the Dead: Overkill - Director's Cut;iOS;;
apr;25-04-2013;;XCOM: Enemy Unknown;Mac;;
apr;26-04-2013;;Mars: War Logs;Win;;
apr;26-04-2013;;Poker Night 2;Win, Mac;;
apr;29-04-2013;;Stealth Bastard Deluxe;Mac, Lin;;
apr;29-04-2013;;Zack Zero;Win;;
apr;30-04-2013;;Deadly Premonition: Director's Cut;PS3;;
apr;30-04-2013;;Dots;iOS;;
apr;30-04-2013;;Far Cry 3: Blood Dragon;PSN;;
apr;30-04-2013;;Katamari Damacy;PSN;;
apr;30-04-2013;;Poker Night 2;PSN;;
apr;30-04-2013;;Soul Sacrifice;PSVita;;
apr;30-04-2013;;Thomas Was Alone;PSN, PSVita;;
apr;30-04-2013;;Zeno Clash II;Win;;
maj;01-05-2013;;Far Cry 3: Blood Dragon;Win, XBLA;;
maj;01-05-2013;;Fez;Win;;
maj;01-05-2013;;Ragnarok Online 2: Legend of the Second;Win;;
maj;02-05-2013;;Kung Fu Rabbit;WiiU;;
maj;02-05-2013;;Might & Magic Heroes VI: Shades of Darkness;Win;;
maj;02-05-2013;;Zoombies: Animales de la Muerte;iOS;;
maj;07-05-2013;;Fatal Frame II: Crimson Butterfly;PSN;;
maj;08-05-2013;;Doritos Crash Course 2;XBLA;;
maj;09-05-2013;;Mario and Donkey Kong: Minis on the Move;3DS;;
maj;10-05-2013;;Carmageddon;Droid;;
maj;10-05-2013;;Monaco: What's Yours is Mine;XBLA;;
maj;14-05-2013;;Dust 514;PS3;;
maj;14-05-2013;;Jacob Jones and the Bigfoot Mystery;PSVita;;
maj;14-05-2013;;Manhunt;PSN;;
maj;14-05-2013;;Metro: Last Light;Win, PS3, X360;;
maj;16-05-2013;;Mega Man 5;3DS;;
maj;16-05-2013;;Sonic the Hedgehog;iOS, Droid;;
maj;16-05-2013;;Swords & Soldiers 3D;3DS;;
maj;16-05-2013;;The Starship Damrey;3DS;;
maj;16-05-2013;;Turbo Racing League;iOS;;
maj;17-05-2013;;Dragon's Lair;Win, Mac;;
maj;21-05-2013;;Fast & Furious: Showdown;Win, PS3, X360, WiiU, 3DS;;
maj;21-05-2013;;Lego Batman 2: DC Super Heroes;WiiU;;
maj;21-05-2013;;Ratchet & Clank: Full Frontal Assault;PSVita;;
maj;21-05-2013;;Resident Evil: Revelations;Win, PS3, X360, WiiU;;
maj;22-05-2013;;Call of Juarez: Gunslinger;Win, PSN, XBLA;;
maj;22-05-2013;;The Incredible Adventures of Van Helsing;Win, XBLA;;
maj;23-05-2013;;Poker Night 2;iOS;;
maj;24-05-2013;;Donkey Kong Country Returns 3D;3DS;;
maj;24-05-2013;;Dust: An Elysian Tail;Win;;
maj;24-05-2013;;Sniper Elite V2;WiiU;;
maj;28-05-2013;;Fuse;PS3, X360;;
maj;28-05-2013;;Grid 2;Win, PS3, X360;;
maj;30-05-2013;;Mega Man X;WiiU;;
maj;30-05-2013;;Phoenix Wright: Ace Attorney: Justice for All;iOS;;
maj;30-05-2013;;Phoenix Wright: Ace Attorney: Trials and Tribulations;iOS;;
maj;30-05-2013;;The Denpa Men 2: Beyond the Waves;3DS;;
maj;30-05-2013;;The Legend of Zelda: Oracle of Seasons and Oracle of Ages;3DS;;
maj;30-05-2013;;Expeditions: Conquistador;Win, Mac;;
maj;30-05-2013;;Star Wars: Knights of the Old Republic;iOS;;
maj;30-05-2013;;World War Z;iOS;;
jun;03-06-2013;;Final Fantasy IV;Droid;;
jun;03-06-2013;;Gunpoint;Win;;
jun;04-06-2013;;Class of Heroes 2;PSP, PSVita;;
jun;04-06-2013;;Eve Online: Odyssey;Win;;
jun;04-06-2013;;Limbo;PSVita;;
jun;04-06-2013;;Marvel Heroes;Win, Mac;;
jun;04-06-2013;;Remember Me;Win, PS3, X360;;
jun;04-06-2013;;The Elder Scrolls V Skyrim: Legendary Edition;Win, PS3, X360;;
jun;05-06-2013;;State of Decay;XBLA;;
jun;06-06-2013;;SpongeBob Moves In;iOS;;
jun;09-06-2013;;Animal Crossing: New Leaf;3DS;;
jun;10-06-2013;;Commander Keen in Keen Dreams;Droid;;
jun;10-06-2013;;Title Bout Championship Boxing;Win, Mac, Lin;;
jun;11-06-2013;;Tekken Revolution;PS3;;
jun;11-06-2013;;You Don't Know Jack;Ouya;;
jun;12-06-2013;;N.O.V.A. 3;WP;;
jun;12-06-2013;;Zeno Clash II;XBLA;;
jun;13-06-2013;;Mighty Switch Force! 2;3DS;;
jun;13-06-2013;;Mutant Mudds Deluxe;WiiU;;
jun;13-06-2013;;Picross e;3DS;;
jun;13-06-2013;;Rugby Challenge 2;Win, PS3, X360;;
jun;13-06-2013;;Zoo Park;Win, Mac;;
jun;14-06-2013;;The Last of Us;PS3;;
jun;18-06-2013;;Dungeons & Dragons: Chronicles of Mystara;XBLA, PSN, Win;;
jun;18-06-2013;;Epic Mickey 2: The Power of Two;PSVita;;
jun;20-06-2013;;Bugs vs. Tanks;3DS;;
jun;20-06-2013;;Icebreaker: A Viking Voyage;iOS;;
jun;20-06-2013;;Magrunner: Dark Pulse;Win;;
jun;20-06-2013;;Max Payne 3;Mac;;
jun;20-06-2013;;Neverwinter;Win;;
jun;20-06-2013;;New Super Luigi U;WiiU;;
jun;20-06-2013;;XCOM: Enemy Unknown;iOS;;
jun;23-06-2013;;Game & Wario;WiiU;;
jun;24-06-2013;;Joe Danger;Win;;
jun;24-06-2013;;Joe Danger 2: The Movie;Win;;
jun;24-06-2013;;Ride to Hell: Retribution;Win;;
jun;25-06-2013;;Company of Heroes 2;Win;;
jun;25-06-2013;;Deadpool;Win, PS3, X360;;
jun;25-06-2013;;Hotline Miami;PSN, PSVita;;
jun;25-06-2013;;Muramasa Rebirth;PSVita;;
jun;25-06-2013;;Project X Zone;3DS;;
jun;25-06-2013;;Ride to Hell: Retribution;PS3, X360;;
jun;25-06-2013;;Shadowgun;Ouya;;
jun;25-06-2013;;Super Crate Box;Ouya;;
jun;25-06-2013;;The Pinball Arcade;Ouya;;
jun;25-06-2013;;The Sims 3: Island Paradise;Win, Mac;;
jun;25-06-2013;;TowerFall;Ouya;;
jun;26-06-2013;;Batman: Arkham City Lockdown;Droid;;
jun;26-06-2013;;Spartacus Legends;PS3, X360;;
jun;27-06-2013;;Beast Boxing Turbo;Ouya;;
jun;27-06-2013;;BombSquad;Ouya;;
jun;27-06-2013;;Kokuga;3DS;;
jun;27-06-2013;;Layton Brothers: Mystery Room;iOS, Droid;;
jun;27-06-2013;;Leisure Suit Larry: Reloaded;Win, Mac;;
jun;27-06-2013;;Might & Magic: Clash of Heroes;Droid;;
jun;27-06-2013;;Rogue Legacy;Win;;
jun;27-06-2013;;Samurai Shodown II;iOS, Droid;;
jun;27-06-2013;;Urban Trial Freestyle;3DS;;
jun;28-06-2013;;Drakerider Chains Transcendent;iOS;;
jul;02-07-2013;;Duke Nukem II;Win;;
jul;02-07-2013;;The Walking Dead: 400 Days;PS3;;
jul;03-07-2013;;Limbo;iOS;;
jul;03-07-2013;;Monaco: What's Yours is Mine;Mac;;
jul;03-07-2013;;Mortal Kombat;Win;;
jul;03-07-2013;;Napoleon: Total War;Mac;;
jul;03-07-2013;;The Walking Dead: 400 Days;Win;;
jul;04-07-2013;;Dark;Win;;
jul;04-07-2013;;Final Fantasy VII;Win;;
jul;05-07-2013;;Capsized;XBLA;;
jul;05-07-2013;;The Walking Dead: 400 Days;XBLA;;
jul;08-07-2013;;Sonic the Hedgehog 4: Episode I;Ouya;;
jul;08-07-2013;;Sonic the Hedgehog 4: Episode II;Ouya;;
jul;09-07-2013;;Civilization V: Brave New World;Win, Mac;;
jul;09-07-2013;;Dark;X360;;
jul;09-07-2013;;Dota 2;Win;;
jul;09-07-2013;;Metal Gear Solid: The Legacy Collection;PS3;;
jul;09-07-2013;;NCAA Football 14;PS3, X360;;
jul;10-07-2013;;Crazy Taxi;Droid;;
jul;11-07-2013;;Deus Ex: The Fall;iOS;;
jul;11-07-2013;;The Walking Dead: 400 Days;iOS;;
jul;11-07-2013;;Toki Tori 2+;Win, Mac;;
jul;12-07-2013;;Pacific Rim: The Mobile Game;iOS;;
jul;12-07-2013;;Pacific Rim: The Video Game;PS3, X360;;
jul;16-07-2013;;Alien Spidy;PSN;;
jul;16-07-2013;;Dynasty Warriors 8;PS3, X360;;
jul;16-07-2013;;Shin Megami Tensei IV;3DS;;
jul;16-07-2013;;Sine Mora;iOS;;
jul;16-07-2013;;Time and Eternity;PS3;;
jul;16-07-2013;;Turbo: Super Stunt Squad;WiiU, Wii, PS3, X360, 3DS, NDS;;
jul;17-07-2013;;R.I.P.D. The Game;Win, PS3, X360;;
jul;18-07-2013;;Attack of the Friday Monsters!;3DS;;
jul;18-07-2013;;Dota 2;Mac, Lin;;
jul;18-07-2013;;EarthBound;WiiU;;
jul;18-07-2013;;Halo: Spartan Assault;Win, WP;;
jul;18-07-2013;;Shantae;3DSVC;;
jul;18-07-2013;;Pac-Man Dash!;iOS;;
jul;22-07-2013;;Dropchord;Win, Mac;;
jul;23-07-2013;;Do Not Fall;PSN;;
jul;23-07-2013;;Stealth Inc. – A Clone in the Dark;PSN, PSVita;;
jul;23-07-2013;;The Smurfs 2;WiiU, Wii, PS3, X360, NDS;;
jul;23-07-2013;;Zeno Clash II;PSN;;
jul;24-07-2013;;NASCAR The Game: Inside Line;Win;;
jul;24-07-2013;;Ty the Tasmanian Tiger;Win;;
jul;25-07-2013;;Picross e2;3DS;;
jul;25-07-2013;;Prince of Persia: The Shadow and The Flame;iOS, Droid;;
jul;25-07-2013;;Shadowrun Returns;Win, Mac, iOS, Droid;;
jul;25-07-2013;;Tropico 4: Gold Edition;Mac;;
jul;25-07-2013;;TurtleStrike;iOS, Droid;;
jul;26-07-2013;;Zeno Clash II;XBLA;;
jul;26-07-2013;;Mars: War Logs;XBLA;;
jul;26-07-2013;;Princess Battles;Win, Lin;;
jul;30-07-2013;;Cloudberry Kingdom;PSN;;
jul;30-07-2013;;Narco Terror;PSN;;
jul;31-07-2013;;Cloudberry Kingdom;Win, XBLA;;
jul;31-07-2013;;Dropchord;Ouya;;
jul;31-07-2013;;Rise of the Triad;Win;;
jul;31-07-2013;;Real Racing 3;Nvidia Shield;;
jul;31-07-2013;;Sonic the Hedgehog 4: Episode II;Nvidia Shield;;
aug;01-08-2013;;Bike Rider DX;3DS;;
aug;01-08-2013;;Cloudberry Kingdom;WiiU;;
aug;01-08-2013;;Dropchord;iOS, Droid;;
aug;01-08-2013;;Puddle;iOS;;
aug;01-08-2013;;Sonic the Hedgehog CD;Ouya;;
aug;03-08-2013;;The Drowning;iOS;;
aug;04-08-2013;;Pikmin 3;WiiU;;
aug;06-08-2013;;Disney's Planes;WiiU, Wii, 3DS, NDS;;
aug;06-08-2013;;Dragon's Crown;PS3, PSVita;;
aug;06-08-2013;;Ibb and Obb;PSN;;
aug;06-08-2013;;Superfrog HD;PS3, PSVita;;
aug;06-08-2013;;Tales of Xillia;PS3;;
aug;06-08-2013;;Divinity: Dragon Commander;Win;;
aug;07-08-2013;;Brothers: A Tale of Two Sons;XBLA;;
aug;08-08-2013;;Guacamelee! Gold Edition;Win;;
aug;08-08-2013;;Mikey Hooks;iOS;;
aug;08-08-2013;;Papers, Please;Win, Mac;;
aug;08-08-2013;;Spelunky;Win;;
aug;08-08-2013;;SteamWorld Dig;3DS;;
aug;11-08-2013;;Mario & Luigi: Dream Team;3DS;;
aug;13-08-2013;;Angry Birds Trilogy;WiiU, Wii;;
aug;13-08-2013;;BreakQuest: Extra Evolution;PSVita;;
aug;13-08-2013;;DuckTales: Remastered;PSN, WiiU, Win;;
aug;13-08-2013;;Europa Universalis IV;Win, Mac, Lin;;
aug;13-08-2013;;Mars: War Logs;PSN;;
aug;13-08-2013;;Payday 2;Win, PS3, X360;;
aug;13-08-2013;;Phineas and Ferb: Quest for Cool Stuff;3DS, NDS, Wii, WiiU, X360;;
aug;13-08-2013;;Sine Mora;Ouya;;
aug;14-08-2013;;Charlie Murder;XBLA;;
aug;15-08-2013;;A-Men;PSVita;;
aug;15-08-2013;;Barbie: Groom and Glam Pups;3DS;;
aug;15-08-2013;;Gone Home;Win, Mac, Lin;;
aug;15-08-2013;;Heavy Fire: Black Arms;3DS;;
aug;15-08-2013;;Plants vs. Zombies 2: It's About Time;iOS;;
aug;15-08-2013;;Space Hulk;Win, Mac;;
aug;18-08-2013;;Disney Infinity;WiiU, Wii, PS3, X360, 3DS;;
aug;19-08-2013;;Race the Sun;Win;;
aug;20-08-2013;;Divekick;Win, PS3, PSVita;;
aug;20-08-2013;;Ms. Germinator;PS3, PSVita;;
aug;20-08-2013;;Saints Row IV;Win, PS3, X360;;
aug;20-08-2013;;The Bureau: XCOM Declassified;Win, PS3, X360;;
aug;20-08-2013;;Tom Clancy's Splinter Cell: Blacklist;Win, PS3, X360, WiiU;;
aug;21-08-2013;;Flashback;XBLA;;
aug;22-08-2013;;Asphalt 7: Heat;Win;;
aug;22-08-2013;;Asphalt 8: Airborne;iOS, Droid;;
aug;22-08-2013;;Skullgirls;Win;;
aug;23-08-2013;;Electronic Super Joy;Win;;
aug;26-08-2013;;He-Man: The Most Powerful Game;Droid;;
aug;27-08-2013;;Castlevania: Lords of Shadow;Win;;
aug;27-08-2013;;Final Fantasy XIV: A Realm Reborn;Win, PS3;;
aug;27-08-2013;;Hatsune Miku: Project DIVA F;PS3;;
aug;27-08-2013;;Killer is Dead;PS3, X360;;
aug;27-08-2013;;Lost Planet 3;Win, PS3, X360;;
aug;27-08-2013;;Madden NFL 25;PS3, X360;;
aug;27-08-2013;;Spelunky;PSN, PSVita;;
aug;28-08-2013;;Teenage Mutant Ninja Turtles: Out of the Shadows;Win, XBLA;;
aug;29-08-2013;;BioShock Infinite;Mac;;
aug;29-08-2013;;Guardians of Middle-earth;Win;;
aug;29-08-2013;;Pokémon Rumble U;WiiU;;
aug;29-08-2013;;SimCity;Mac;;
aug;29-08-2013;;Terraria;iOS;;
aug;29-08-2013;;868-HACK;iOS;;
aug;30-08-2013;;Arcania: The Complete Tale;PS3, X360;;
sep;03-09-2013;;Brothers: A Tale of Two Sons;Win, PSN;;
sep;03-09-2013;;Castle of Illusion Starring Mickey Mouse HD Remake;PSN;;
sep;03-09-2013;;Chaos Code;PSN;;
sep;03-09-2013;;Dance Dance Revolution Hottest Party U;WiiU;;
sep;03-09-2013;;Diablo III;PS3, X360;;
sep;03-09-2013;;Dead or Alive 5 Ultimate;PS3, X360;;
sep;03-09-2013;;Rayman Legends;Win, PS3, WiiU, X360, PSVita;;
sep;03-09-2013;;Total War: Rome II;Win;;
sep;03-09-2013;;One Piece: Pirate Warriors 2;PS3;;
sep;04-09-2013;;Castle of Illusion Starring Mickey Mouse HD Remake;Win, XBLA;;
sep;04-09-2013;;Outlast;Win;;
sep;05-09-2013;;Dungeons & Dragons: Chronicles of Mystara;WiiU;;
sep;05-09-2013;;Giana Sisters: Twisted Dreams;WiiU;;
sep;05-09-2013;;TNT Racers;WiiU;;
sep;10-09-2013;;Amnesia: A Machine for Pigs;Win, Mac, Lin;;
sep;10-09-2013;;Dragon Fantasy Book II;PS3, PSVita;;
sep;10-09-2013;;Killzone: Mercenary;PSVita;;
sep;10-09-2013;;Kingdom Hearts HD 1.5 Remix;PS3;;
sep;10-09-2013;;Metro: Last Light;Mac;;
sep;10-09-2013;;NHL 14;PS3, X360;;
sep;10-09-2013;;Puppeteer;PS3;;
sep;11-09-2013;;DuckTales: Remastered;XBLA;;
sep;12-09-2013;;ARMA 3;Win;;
sep;12-09-2013;;Superfrog HD;Win;;
sep;13-09-2013;;Terraria;Droid;;
sep;13-09-2013;;The King of Fighters XIII;Win;;
sep;13-09-2013;;Volgarr the Viking;Win;;
sep;15-09-2013;;The Wonderful 101;WiiU;;
sep;17-09-2013;;Grand Theft Auto V;PS3, X360;;
sep;17-09-2013;;MechWarrior Online;Win;;
sep;18-09-2013;;Broken Sword: The Serpent's Curse;Win, Mac, Lin, iOS;;
sep;18-09-2013;;Dragon's Prophet;Win;;
sep;18-09-2013;;Foul Play;Win, X360;;
sep;18-09-2013;;Infinity Blade III;iOS;;
sep;18-09-2013;;Ironclad Tactics;Win;;
sep;18-09-2013;;The Lord of the Rings: War in the North;Mac;;
sep;18-09-2013;;Urban Trial Freestyle;Win;;
sep;19-09-2013;;Angry Birds Star Wars II;iOS, Droid, WP;;
sep;19-09-2013;;Hakuoki: Memories of the Shinsengumi;3DS;;
sep;19-09-2013;;Rage of the Gladiator;3DS;;
sep;20-09-2013;;Marlow Briggs and the Mask of Death;Win, X360;;
sep;20-09-2013;;The Angry Video Game Nerd Adventures;Win;;
sep;20-09-2013;;The Legend of Zelda: The Wind Waker HD;WiiU;;
sep;20-09-2013;;Hot Wheels: World's Best Driver;PS3;;
sep;23-09-2013;;FIFA 14;iOS, Droid;;
sep;24-09-2013;;Alien Rage;Win;;
sep;24-09-2013;;Armored Core: Verdict Day;PS3, X360;;
sep;24-09-2013;;Cloudy with a Chance of Meatballs 2;3DS, NDS;;
sep;24-09-2013;;FIFA 14;Win, PS3, X360, Wii, PS2, PSVita, 3DS, PSP;;
sep;24-09-2013;;Lone Survivor;PSN, PSVita;;
sep;24-09-2013;;Pro Evolution Soccer 2014;Win, PS3, X360, PS2, 3DS, PSP;;
sep;24-09-2013;;Scribblenauts Unmasked: A DC Comics Adventure;WiiU, 3DS, Win;;
sep;24-09-2013;;The Mark of Kri;PSN;;
sep;25-09-2013;;Ascend: Hand of Kul;XBLA;;
sep;25-09-2013;;Day One: Garry's Incident;Win;;
sep;25-09-2013;;Final Fantasy V;Droid;;
sep;26-09-2013;;Shadow Warrior;Win;;
sep;26-09-2013;;Shadowrun Returns;iOS, Droid;;
okt;01-10-2013;;Atelier Meruru Plus: The Apprentice of Arland;PSVita;;
okt;01-10-2013;;Grand Theft Auto Online;PS3, X360;;
okt;01-10-2013;;Etrian Odyssey Untold: The Millennium Girl;3DS;;
okt;01-10-2013;;Flashback;PSN, Win;;
okt;01-10-2013;;NBA 2K14;PS3, X360, Win;;
okt;01-10-2013;;Painkiller: Hell & Damnation;X360;;
okt;01-10-2013;;Rain;PSN;;
okt;01-10-2013;;Rune Factory 4;3DS;;
okt;02-10-2013;;A.R.E.S.: Extinction Agenda;XBLA;;
okt;03-10-2013;;Marvel Puzzle Quest;iOS;;
okt;03-10-2013;;Picross e3;3DS;;
okt;03-10-2013;;Agarest: Generations of War;Win;;
okt;03-10-2013;;The Cave;iOS;;
okt;03-10-2013;;Transport Tycoon;iOS, Droid;;
okt;07-10-2013;;Hero of Many;Ouya;;
okt;08-10-2013;;Beyond: Two Souls;PS3;;
okt;08-10-2013;;Disgaea D2: A Brighter Darkness;PS3;;
okt;08-10-2013;;F1 2013;Win, PS3, X360;;
okt;08-10-2013;;Just Dance 2014;Wii, WiiU, X360, PS3;;
okt;08-10-2013;;Mimpi;iOS;;
okt;10-10-2013;;Costume Quest;iOS;;
okt;10-10-2013;;Hero Academy;Droid;;
okt;11-10-2013;;The Wolf Among Us: Episode 1 – Faith;Win, XBLA;;
okt;12-10-2013;;Pokémon X and Y;3DS;;
okt;13-10-2013;;Skylanders: Swap Force;Wii, WiiU, X360, PS3;;
okt;15-10-2013;;Fist of Awesome;iOS, Droid, Ouya;;
okt;15-10-2013;;The Wolf Among Us: Episode 1 – Faith;PSN;;
okt;15-10-2013;;Valhalla Knights 3;PSVita;;
okt;16-10-2013;;140;Win, Mac, Lin;;
okt;16-10-2013;;Rogue Legacy;Mac, Lin;;
okt;17-10-2013;;Device 6;iOS;;
okt;17-10-2013;;Mega Dead Pixel;iOS;;
okt;17-10-2013;;Mighty Switch Force! 2;WiiU;;
okt;17-10-2013;;Saint Seiya: Brave Soldiers;PS3;;
okt;17-10-2013;;Sega Superstars Tennis;Mac;;
okt;17-10-2013;;The Stanley Parable;Win;;
okt;18-10-2013;;Alien Rage;X360;;
okt;21-10-2013;;Monaco;Lin;;
okt;21-10-2013;;Warface;Win;;
okt;22-10-2013;;Alien Rage;PS3;;
okt;22-10-2013;;Beyblade Evolution;3DS;;
okt;22-10-2013;;Deus Ex: Human Revolution – Director’s Cut;WiiU, Win, PS3, X360;;
okt;22-10-2013;;Hometown Story;3DS;;
okt;22-10-2013;;LEGO Marvel Super Heroes;Win, WiiU, X360, PS3, 3DS, NDS;;
okt;22-10-2013;;Magrunner: Dark Pulse;PSN;;
okt;22-10-2013;;Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst;Win, PS3, X360;;
okt;22-10-2013;;Nickelodeon Teenage Mutant Ninja Turtles;3DS, Wii, X360;;
okt;22-10-2013;;Rocksmith 2014;Win, Mac, PS3, X360;;
okt;22-10-2013;;SpongeBob SquarePants: Plankton's Robotic Revenge;WiiU, 3DS, X360, PS3, Wii, NDS;;
okt;22-10-2013;;The Sims 3: Into the Future;Win;;
okt;23-10-2013;;Dead Trigger 2;Droid, iOS;;
okt;23-10-2013;;How to Survive;Win, XBLA;;
okt;23-10-2013;;Path of Exile;Win;;
okt;23-10-2013;;Plants vs. Zombies 2: It's About Time;Droid;;
okt;24-10-2013;;Monster High: 13 Wishes;3DS, NDS, Wii, WiiU;;
okt;24-10-2013;;Phoenix Wright: Ace Attorney - Dual Destinies;3DS;;
okt;25-10-2013;;Batman: Arkham Origins;Win, PS3, X360, WiiU;;
okt;25-10-2013;;Batman: Arkham Origins Blackgate;PSVita, 3DS;;
okt;25-10-2013;;Castlevania: Lords of Shadow – Mirror of Fate HD;XBLA;;
okt;25-10-2013;;Enslaved: Odyssey to the West: Premium Edition;Win, PS3;;
okt;25-10-2013;;FIFA Manager 14;Win;;
okt;25-10-2013;;Magrunner: Dark Pulse;XBLA;;
okt;25-10-2013;;The Dark Eye: Demonicon;Win;;
okt;25-10-2013;;Wii Party U;WiiU;;
okt;29-10-2013;;Angry Birds Star Wars;PS3, X360, Wii, WiiU, PSVita, 3DS;;
okt;29-10-2013;;Assassin's Creed IV: Black Flag;PS3, X360, WiiU;;
okt;29-10-2013;;Battlefield 4;Win, X360, PS3;;
okt;29-10-2013;;Castlevania: Lords of Shadow – Mirror of Fate HD;PSN;;
okt;29-10-2013;;Deadly Premonition: The Director's Cut;Win;;
okt;29-10-2013;;Doodle Jump Adventures;3DS, NDS;;
okt;29-10-2013;;Pac-Man and the Ghostly Adventures;Win, PS3, X360, WiiU;;
okt;29-10-2013;;Regular Show: Mordecai and Rigby in 8-Bit Land;3DS;;
okt;29-10-2013;;Sonic Lost World;WiiU, 3DS;;
okt;29-10-2013;;The Typing of The Dead: Overkill;Win;;
okt;29-10-2013;;WWE 2K14;PS3, X360;;
okt;31-10-2013;;Football Manager 2014;Win, Mac, Lin;;
okt;31-10-2013;;Runner2;iOS;;
okt;31-10-2013;;Sniper Elite: Nazi Zombie Army 2;Win;;
nov;01-11-2013;;Bubsy 3D: Bubsy Visits the James Turrell Retrospective;Win, MacOS;;
nov;01-11-2013;;Blood Knights;XBLA;;
nov;01-11-2013;;Chucky: Slash & Dash;iOS;;
nov;01-11-2013;;Shadowgun;GameStick;;
nov;01-11-2013;;Wii Fit U;WiiU;;
nov;05-11-2013;;Call of Duty: Ghosts;Win, X360, PS3, WiiU;;
nov;05-11-2013;;Final Exam;Win, PSN;;
nov;05-11-2013;;How to Survive;PSN;;
nov;05-11-2013;;Metro: Last Light;Lin;;
nov;05-11-2013;;Pac-Man and the Ghostly Adventures;3DS;;
nov;05-11-2013;;Pictlogica Final Fantasy;iOS;;
nov;05-11-2013;;State of Decay;Win;;
nov;05-11-2013;;The Guided Fate Paradox;PS3;;
nov;05-11-2013;;Zumba Fitness: World Party;WiiU, Wii, X360;;
nov;07-11-2013;;Lego The Lord of the Rings;iOS;;
nov;07-11-2013;;Rayman Fiesta Run;iOS;;
nov;07-11-2013;;Spec Ops: The Line;Mac;;
nov;07-11-2013;;Toki Tori;WiiU;;
nov;08-11-2013;;Final Exam;XBLA;;
nov;08-11-2013;;Risk of Rain;Win;;
nov;12-11-2013;;Barbie Dreamhouse Party;3DS, NDS, Wii, WiiU;;
nov;12-11-2013;;BioShock Infinite: Burial at Sea – Episode 1;Win, Mac, PS3, X360;;
nov;12-11-2013;;Book of Potions;PS3;;
nov;12-11-2013;;Diggs Nightcrawler;PS3;;
nov;12-11-2013;;Flower;PSVita;;
nov;12-11-2013;;Frozen: Olaf's Quest;3DS, NDS;;
nov;12-11-2013;;Injustice: Gods Among Us – Ultimate Edition;Win, PS3, X360, PSVita;;
nov;12-11-2013;;Ratchet & Clank: Into the Nexus;PS3;;
nov;12-11-2013;;Walking with Dinosaurs;PS3;;
nov;12-11-2013;;World of Warplanes;Win;;
nov;12-11-2013;;XCOM: Enemy Within;Win, Mac, PS3, X360;;
nov;13-11-2013;;Asphalt 8: Airborne;Win, WP;;
nov;13-11-2013;;Jett Rocket II: The Wrath of Taikai;3DS;;
nov;13-11-2013;;The King of Fighters '97;iOS, Droid;;
nov;14-11-2013;;Senran Kagura Burst;3DS;;
nov;14-11-2013;;Football Manager 2014;iOS, Droid;;
nov;14-11-2013;;My Talking Tom;iOS;;
nov;14-11-2013;;Oceanhorn: Monster of Uncharted Seas;iOS;;
nov;14-11-2013;;Stealth Inc: A Clone in the Dark;iOS;;
nov;15-11-2013;;Angry Birds Star Wars;PS4;;
nov;15-11-2013;;Assassin's Creed IV: Black Flag;PS4;;
nov;15-11-2013;;Battlefield 4;PS4;;
nov;15-11-2013;;Call of Duty: Ghosts;PS4;;
nov;15-11-2013;;Contrast;Win, PS3, PS4, X360;;
nov;15-11-2013;;DC Universe Online;PS4;;
nov;15-11-2013;;Deadfall Adventures;Win, X360;;
nov;15-11-2013;;FIFA 14;PS4;;
nov;15-11-2013;;Flower;PS4;;
nov;15-11-2013;;Injustice: Gods Among Us – Ultimate Edition;PS4;;
nov;15-11-2013;;Just Dance 2014;PS4;;
